title,episodes,score,num_votes,air_start,air_end,genres,producers,studios,status
0-sen Hayato,38.0,6.15,27,1964-01-21,1964-10-27,"['Historical', 'Military']",['P Productions'],[],Finished Airing
Mahou Shoujo? Naria☆Girls,12.0,3.9,817,2016-07-07,2016-09-22,['Magic'],['Pony Canyon'],['Bouncy'],Finished Airing
Hanoka,12.0,4.24,672,2006-08-08,2006-10-31,['Sci-Fi'],"['RAMS', 'Fanworks']",[],Finished Airing
Kemono Friends,,4.4,554,2017-01-11,,"['Adventure', 'Comedy']","['flying DOG', 'Bushiroad', 'famima.com', 'Docomo Anime Store']",['Yaoyorozu'],Currently Airing
Ragnastrike Angels,12.0,4.42,2780,2016-04-03,2016-06-19,['Action'],['Aniplex'],['Satelight'],Finished Airing
Bishoujo Yuugi Unit Crane Game Girls,13.0,4.51,1854,2016-04-06,2016-06-29,"['Game', 'Space', 'Comedy']",[],['Kyotoma'],Finished Airing
JK Meshi!,26.0,4.71,2147,2015-10-06,2016-03-29,['Comedy'],[],"['Kyotoma', 'Office Nobu']",Finished Airing
Ame-iro Cocoa,12.0,4.8,6423,2015-04-05,2015-06-21,"['Comedy', 'Slice of Life']",['DAX Production'],['EMT²'],Finished Airing
Bishoujo Yuugi Unit Crane Game Girls Galaxy,12.0,5.06,643,2016-10-05,2016-12-21,"['Game', 'Space', 'Comedy']",['Pony Canyon Enterprise'],['Kyotoma'],Finished Airing
Sushi Police,13.0,4.79,2655,2016-01-07,2016-03-31,"['Comedy', 'Police']","['Dentsu', 'Tokyo MX', 'SEDIC International', 'Sankyo Planning', 'Tokyu Recreation', 'Amuse']",['KOO-KI'],Finished Airing
Ame-iro Cocoa in Hawaii,12.0,5.08,130,2016-10-02,2016-12-18,"['Slice of Life', 'Comedy']",['DAX Production'],['EMT²'],Finished Airing
Chou Henshin Cosprayers,8.0,5.1,2132,2004-01-12,2004-03-01,"['Action', 'Ecchi', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'Super Power', 'Sci-Fi']",['m.o.e.'],"['Imagin', 'Studio Live']",Finished Airing
Legend of Duo,12.0,5.12,3239,2005-04-21,2005-06-27,"['Supernatural', 'Drama', 'Vampire', 'Shounen Ai']",[],"['Radix', 'Marine Entertainment']",Finished Airing
Heybot!,,5.17,209,2016-09-18,,"['Sci-Fi', 'Comedy', 'Kids']",['Bandai'],['Bandai Namco Pictures'],Currently Airing
Chou Shounen Tanteidan Neo,,5.2,244,2017-01-02,,['Mystery'],['Tokyo MX'],['DLE'],Currently Airing
Funny Pets,12.0,5.1,116,2006-01-11,2006-03-29,['Comedy'],['KBS'],[],Finished Airing
3-Nen D-Gumi Glass no Kamen,13.0,5.22,276,2016-10-03,2016-12-26,"['Comedy', 'Parody', 'School']",[],['DLE'],Finished Airing
Time Bokan 24,,5.23,534,2016-10-01,,"['Adventure', 'Comedy', 'Mecha']","['Yomiuri Telecasting Corporation', 'Level-5']",['Tatsunoko Production'],Currently Airing
Hand Shakers,12.0,5.24,4531,2017-01-11,2017-03-29,['Action'],"['Frontier Works', 'Media Factory', 'Movic', 'Sony Music Communications', 'Medicos Entertainment', 'Kadokawa Media House']",['GoHands'],Currently Airing
Scared Rider Xechs,12.0,5.3,1992,2016-07-06,2016-09-21,"['Sci-Fi', 'Adventure', 'Harem', 'Romance']","['Sotsu', 'MediaNet', 'AT-X', 'MAGES.', 'Docomo Anime Store', '5pb.']",['Satelight'],Finished Airing
Tenpou Suikoden Neo,5.0,5.29,98,2013-02-28,2013-03-28,['Historical'],[],['Kachidoki Studio'],Finished Airing
Kurayami Santa,13.0,5.3,614,2015-07-05,2015-09-27,"['Historical', 'Supernatural']",[],['ILCA'],Finished Airing
Kowabon,13.0,5.33,7166,2015-10-04,2015-12-27,['Horror'],[],['ILCA'],Finished Airing
Ao Oni The Animation,13.0,5.34,2848,2016-10-03,2017-01-09,"['Comedy', 'Horror']",['DAX Production'],['Studio Deen'],Finished Airing
Run=Dim,13.0,5.31,208,2001-04-01,2001-06-24,"['Action', 'Mecha', 'Sci-Fi']","['TV Tokyo', 'Idea Factory']",[],Finished Airing
Doamaiger D,13.0,5.33,316,2015-01-05,2015-03-30,"['Action', 'Comedy', 'Mecha']",[],['ILCA'],Finished Airing
Litchi DE Hikari Club,8.0,5.35,3486,2012-10-02,2012-11-20,"['Comedy', 'Drama', 'Horror', 'Psychological', 'Romance']",['Nelke Planning'],['Kachidoki Studio'],Finished Airing
Bikini Warriors,12.0,5.35,16351,2015-07-08,2015-09-23,"['Comedy', 'Ecchi', 'Fantasy', 'Parody']","['Hobby Japan', 'Studio Mausu']",['feel.'],Finished Airing
Oshiri Kajiri Mushi (TV),20.0,5.36,315,2012-10-07,2013-02-24,"['Comedy', 'Kids']",[],['Kinema Citrus'],Finished Airing
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,12.0,5.37,1004,2012-07-31,2012-11-16,"['Comedy', 'Magic']","['Pastel', 'AIR AGENCY']",['AIC Frontier'],Finished Airing
Genma Taisen: Shinwa Zenya no Shou,13.0,5.4,270,2002-02-02,2002-05-11,"['Adventure', 'Drama', 'Horror', 'Sci-Fi', 'Shounen', 'Supernatural']","['E&amp;G Films', 'KENMedia']",[],Finished Airing
Akiba-chan,10.0,5.38,586,2008-07-25,2008-08-01,"['Comedy', 'Kids', 'Slice of Life']",['Kids Station'],[],Finished Airing
Urawa no Usagi-chan,12.0,5.45,3380,2015-04-10,2015-06-26,"['Comedy', 'School', 'Slice of Life']","['Grooove', 'Glovision', 'Harappa']",['A-Real'],Finished Airing
Ozmafia!!,12.0,5.47,3076,2016-07-07,2016-09-22,"['Harem', 'Historical', 'Romance', 'Fantasy', 'Shoujo']","['Hobi Animation', 'project lights']",['Creators in Pack'],Finished Airing
Pacusi,18.0,5.41,79,1994-04-04,1995-01-05,['Comedy'],['NHK'],[],Finished Airing
Saiko Robot Kombock,25.0,5.48,1303,2003-10-06,2004-03-29,"['Mecha', 'Sci-Fi']","['Xebec', 'CinePix']",[],Finished Airing
Wagamama High Spec,12.0,5.47,7378,2016-04-12,2016-06-28,"['Comedy', 'School']",['Hobi Animation'],['AXsiZ'],Finished Airing
One Room,12.0,5.49,1965,2017-01-11,,['Slice of Life'],[],['TYPHOON GRAPHICS'],Currently Airing
Onigiri,13.0,5.49,4745,2016-04-07,2016-06-30,"['Comedy', 'Fantasy', 'Supernatural']","['Being', 'Zack Promotion', 'Bushiroad Music']",['Pierrot Plus'],Finished Airing
Charady no Joke na Mainichi,365.0,5.47,129,2009-04-01,2010-03-31,['Comedy'],[],[],Finished Airing
Oshiri Kajiri Mushi (TV) 3rd Season,10.0,5.5,137,2014-10-06,2014-12-08,"['Comedy', 'Kids']",[],['Kinema Citrus'],Finished Airing
Venus Project: Climax,6.0,5.51,1142,2015-07-12,2015-09-20,"['Action', 'Music']",[],['Nomad'],Finished Airing
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,10.0,5.5,623,2013-07-06,2013-09-07,"['Comedy', 'Magic']",['AIC Frontier'],[],Finished Airing
Idol Jihen,,5.51,899,2017-01-08,,['Music'],"['BS Fuji', 'MAGES.', 'Docomo Anime Store', 'bilibili', 'Crunchyroll']","['MAPPA', 'Studio VOLN']",Currently Airing
Chiruran: Nibun no Ichi,,5.53,481,2017-01-10,,"['Action', 'Comedy', 'Historical']",[],['LandQ studios'],Currently Airing
Haja Kyosei G Dangaiou,13.0,5.53,369,2001-04-05,2001-07-05,"['Action', 'Mecha', 'Sci-Fi']",['AIC'],[],Finished Airing
Schoolgirl Strikers: Animation Channel,13.0,5.54,1394,2017-01-07,,"['Action', 'School']","['Square Enix', 'Movic', 'Warner Bros.', 'KlockWorx', 'BS11', 'Egg Firm']",['J.C.Staff'],Currently Airing
Glasslip,13.0,5.55,45457,2014-07-03,2014-09-25,"['Romance', 'Slice of Life', 'Supernatural']","['Sotsu', 'Lantis', 'Pony Canyon', 'Showgate', 'Infinite']",['P.A. Works'],Finished Airing
MapleStory,25.0,5.56,866,2007-10-07,2008-03-30,"['Action', 'Kids', 'Fantasy', 'Comedy', 'Romance']","['TV Tokyo', 'Dentsu', 'Nexon']",['Madhouse'],Finished Airing
"Watashitachi, Luck Logic-bu!",12.0,5.58,194,2016-01-09,2016-03-26,"['Comedy', 'School']",['Bushiroad'],['Doga Kobo'],Finished Airing
Oshiri Kajiri Mushi (TV) 2nd Season,32.0,5.56,170,2013-09-30,2014-03-27,"['Comedy', 'Kids']",[],['Kinema Citrus'],Finished Airing
Virus: Virus Buster Serge,12.0,5.58,881,1997-10-03,1997-12-19,"['Action', 'Adventure', 'Mecha', 'Police', 'Sci-Fi']",['Plum'],['J.C.Staff'],Finished Airing
Anitore! EX,12.0,5.59,6241,2015-10-13,2015-12-29,"['Comedy', 'Sports']","['Earth Star Entertainment', 'F.M.F']",['Rising Force'],Finished Airing
Kinniku Banzuke: Kongou-kun no Daibouken!,3.0,5.61,53,2001-07-30,2001-08-30,"['Action', 'Shounen', 'Sports']",['Bandai Visual'],['Studio Pierrot'],Finished Airing
SD Gundam Force,52.0,5.6,2079,2004-01-07,2004-12-29,"['Adventure', 'Comedy', 'Fantasy', 'Mecha']","['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['Sunrise'],Finished Airing
Double-J,11.0,5.61,3740,2011-06-29,2011-09-14,"['Comedy', 'School', 'Shounen']",[],['DLE'],Finished Airing
Suzakinishi the Animation,12.0,5.62,779,2015-07-08,2015-09-23,"['Comedy', 'Slice of Life']",[],['feel.'],Finished Airing
Francesca,24.0,5.63,856,2014-07-07,2014-12-15,"['Fantasy', 'Comedy']","['Pony Canyon', 'Bandai Namco Games', 'Daiichikosho', 'HeART-BIT', 'Hokkaido Azmacy', 'Hokkaido Cultural Broadcasting', 'Teichiku Entertainment', 'Amuse']",['Telecom Animation Film'],Finished Airing
Happy Kappy,25.0,5.63,163,2011-04-06,2011-10-05,"['Comedy', 'Fantasy', 'Shoujo']",['Shogakukan Music &amp; Digital Entertainment'],[],Finished Airing
Hit wo Nerae!,8.0,5.64,1643,2004-03-09,2004-04-27,"['Comedy', 'Ecchi']",['m.o.e.'],"['Imagin', 'Studio Live']",Finished Airing
Glass no Kamen Desu ga,3.0,5.65,140,2013-04-07,2013-04-21,"['Comedy', 'Parody']",[],['DLE'],Finished Airing
Ikeike! Momon-chan,15.0,5.65,236,2012-11-28,2013-03-28,['Comedy'],[],[],Finished Airing
Big Order (TV),10.0,5.67,40342,2016-04-16,2016-06-18,"['Action', 'Shounen', 'Super Power']","['Lantis', 'Rakuonsha', 'KlockWorx']",['Asread'],Finished Airing
PostPet Momobin,24.0,5.67,59,2004-07-04,2005-01-09,"['Comedy', 'Kids']",[],[],Finished Airing
Barom One,13.0,5.65,196,2002-12-07,2003-03-22,"['Action', 'Sci-Fi', 'Supernatural', 'Shounen']",['AT-X'],['E&amp;G Films'],Finished Airing
Mikan-Seijin,26.0,5.67,85,1992-01-01,,['Comedy'],[],[],Finished Airing
Baby Felix,65.0,5.67,55,2000-10-08,2001-06-29,"['Comedy', 'Kids']",[],[],Finished Airing
Momo Kyun Sword,12.0,5.7,5544,2014-07-09,2014-09-24,"['Comedy', 'Ecchi', 'Fantasy']",['flying DOG'],"['Project No.9', 'Tri-Slash']",Finished Airing
Minarai Diva,10.0,5.69,97,2014-07-14,2014-09-22,['Music'],"['NOTTV', 'Bouncy']",['Yaoyorozu'],Finished Airing
Wild 7 Another Bouryaku Unga,13.0,5.71,77,2002-04-27,2002-08-31,"['Action', 'Adventure', 'Police', 'Shounen']",['E&amp;G Films'],[],Finished Airing
Nar Doma,26.0,5.72,52,2015-05-17,2015-11-12,['Comedy'],['comico'],['Kachidoki Studio'],Finished Airing
Koroshiya-san: The Hired Gun,10.0,5.7,1796,2013-10-11,2013-12-13,"['Action', 'Comedy', 'Police', 'Seinen', 'Thriller']","['KlockWorx', 'Studio Mausu']",['Opera House'],Finished Airing
Lance N' Masques,12.0,5.72,11359,2015-10-02,2015-12-18,['Fantasy'],"['Pony Canyon', 'TBS', 'DAX Production', 'KlockWorx', 'Docomo Anime Store', 'NichiNare']",['Studio Gokumi'],Finished Airing
UG☆Ultimate Girls,12.0,5.73,2457,2005-01-10,2005-03-28,"['Comedy', 'Ecchi', 'Magic', 'Sci-Fi']",['m.o.e.'],[],Finished Airing
Majuu Sensen: The Apocalypse,13.0,5.69,242,2003-02-23,2003-05-18,"['Action', 'Fantasy']","['Magic Bus', 'Dynamic Planning']",[],Finished Airing
Spiritpact,,5.75,2228,2017-01-07,,"['Action', 'Shounen Ai', 'Supernatural']",['Half H.P Studio'],['Haoliners Animation League'],Currently Airing
Onara Gorou,13.0,5.76,1315,2016-07-03,2016-09-24,['Comedy'],[],['ILCA'],Finished Airing
Q Transformers: Kaette Kita Convoy no Nazo,13.0,5.73,118,2015-01-06,2015-03-31,"['Slice of Life', 'Parody', 'Mecha']",['Bouncy'],['DLE'],Finished Airing
Mayoiga,12.0,5.77,56869,2016-04-01,2016-06-17,"['Mystery', 'Horror', 'Psychological', 'Drama']","['WOWOW', 'Mainichi Broadcasting System', 'Pony Canyon', 'KlockWorx', 'Studio Mausu', 'Azumaker', 'Shogakukan']",['Diomedea'],Finished Airing
Shibainuko-san,26.0,5.78,2096,2012-04-01,2012-09-23,['Comedy'],"['DAX Production', 'Takeshobo', 'Dream Creation']",['Hotline'],Finished Airing
ClassicaLoid,25.0,5.78,2250,2016-10-08,2017-04-01,"['Music', 'Comedy']","['NHK', 'Bandai Namco Pictures']",['Sunrise'],Currently Airing
Seisen Cerberus: Ryuukoku no Fatalités,13.0,5.79,17269,2016-04-05,2016-06-28,"['Adventure', 'Fantasy']","['TV Tokyo', 'Genco', 'Pony Canyon', 'Tohokushinsha Film Corporation', ""Children's Playground Entertainment""]",['Bridge'],Finished Airing
Go! Go! 575,4.0,5.79,4371,2014-01-10,2014-01-31,['Slice of Life'],"['Sega', 'Half H.P Studio']","['C2C', 'Lay-duce']",Finished Airing
Aesop's World,26.0,5.76,69,1999-04-05,1999-12-31,['Kids'],[],['Sunrise'],Finished Airing
Endride,24.0,5.79,7069,2016-04-03,2016-09-25,"['Adventure', 'Fantasy']","['VAP', 'Nippon Television Network Corporation', 'Nippon Television Music Corporation', 'Takara Tomy A.R.T.S', 'CyberAgent', 'Forecast Communications']","[""Brain's Base""]",Finished Airing
Diabolik Lovers,12.0,5.79,60239,2013-09-16,2013-12-09,"['Harem', 'School', 'Shoujo', 'Vampire']","['Frontier Works', 'Idea Factory', 'Showgate']",['Zexcs'],Finished Airing
Bloodivores,12.0,5.79,11851,2016-10-01,2016-12-17,"['Action', 'Supernatural', 'Vampire']",['Emon'],"['Creators in Pack', 'Namu Animation']",Finished Airing
Anitore! XX,12.0,5.79,2335,2016-10-05,2016-12-21,"['Comedy', 'Sports']","['Earth Star Entertainment', 'F.M.F']",['Rising Force'],Finished Airing
Platonic Chain,24.0,5.8,375,2002-10-05,2003-03-29,"['Sci-Fi', 'Slice of Life']",['ACiD FiLM'],[],Finished Airing
Shokupan Mimi,12.0,5.8,427,2010-10-04,2010-12-20,['Comedy'],['Dentsu'],['Kachidoki Studio'],Finished Airing
Mini Moni the TV,15.0,5.8,124,2003-09-08,2003-09-26,['Comedy'],[],[],Finished Airing
Uchurei!,12.0,5.81,363,2009-08-09,2009-09-19,"['Comedy', 'Sci-Fi', 'Slice of Life']",['AC Create'],['Robot'],Finished Airing
Hagane Orchestra,12.0,5.81,515,2016-10-10,2016-12-26,"['Adventure', 'Comedy']",[],['Fanworks'],Finished Airing
Misute♡naide Daisy,12.0,5.82,199,1997-07-02,1997-09-17,"['Comedy', 'Romance', 'Sci-Fi']",[],['Studio Deen'],Finished Airing
Alexander Senki,13.0,5.82,1907,1999-09-14,1999-12-07,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Sci-Fi', 'Supernatural']","['Kadokawa Shoten', 'TBS']",['Madhouse'],Finished Airing
Peeping Life TV: Season 1??,12.0,5.81,468,2015-10-04,2015-12-20,"['Comedy', 'Slice of Life']",['Tatsunoko Production'],"['CoMix Wave Films', 'FOREST Hunting One']",Finished Airing
Lime-iro Ryuukitan X,13.0,5.87,361,2005-01-05,2005-03-30,"['Harem', 'Historical', 'Supernatural', 'Drama', 'Ecchi', 'Mecha']",['KSS'],[],Finished Airing
Divine Gate,12.0,5.87,30393,2016-01-08,2016-03-25,"['Action', 'Fantasy', 'Sci-Fi']",[],['Studio Pierrot'],Finished Airing
Bihada Ichizoku,12.0,5.87,868,2008-10-07,2008-12-23,"['Drama', 'Parody', 'Shoujo']","['Omnibus Japan', 'Sony Music Entertainment']",[],Finished Airing
Shin Seiki Den Mars,13.0,5.87,186,2002-10-31,2003-02-06,"['Mecha', 'Sci-Fi', 'Shounen']",['Plum'],[],Finished Airing
Super Milk-chan,14.0,5.88,1072,1998-06-18,1998-09-17,"['Action', 'Comedy', 'Parody', 'Sci-Fi']","['Genco', 'Tokyo Kids']",[],Finished Airing
Usakame,12.0,5.88,2878,2016-04-12,2016-06-28,"['Comedy', 'Sports', 'Shounen']","['DAX Production', 'Earth Star Entertainment']",['Millepensee'],Finished Airing
Aquarion Logos,26.0,5.89,2560,2015-07-03,2015-12-25,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Mecha', 'Romance', 'Sci-Fi']",['C2C'],['Satelight'],Finished Airing
Battery,11.0,5.9,9832,2016-07-15,2016-09-23,"['Slice of Life', 'Sports', 'Drama']","['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting Corporation']",['Zero-G'],Finished Airing
Military!,12.0,5.9,10307,2015-01-07,2015-03-25,"['Ecchi', 'Slice of Life', 'Comedy', 'Military', 'Seinen']","['DAX Production', 'Dream Creation']",['Creators in Pack'],Finished Airing
Sengoku Choujuu Giga: Kou,13.0,5.91,832,2016-10-09,2017-01-08,"['Demons', 'Historical', 'Supernatural']",[],['ILCA'],Finished Airing
Sweet Valerian,18.0,5.9,619,2004-08-01,2004-12-19,"['Action', 'Comedy', 'Magic', 'School', 'Shoujo']",['Aniplex'],['Madhouse'],Finished Airing
Pugyuru,13.0,5.91,1264,2004-04-12,2004-07-05,"['Comedy', 'Fantasy', 'School']","['Kids Station', 'Kodansha', 'Movic']",[],Finished Airing
Ginsoukikou Ordian,24.0,5.91,301,2000-04-04,2000-09-19,"['Mecha', 'Sci-Fi']","['Plum', 'Soft Garage']",[],Finished Airing
Duel Masters,26.0,5.92,7486,2002-10-21,2003-04-04,"['Action', 'Adventure', 'Comedy', 'Shounen']",['Studio Jack'],['Studio Hibari'],Finished Airing
Babel Nisei (2001),13.0,5.91,526,2001-10-05,2001-12-28,"['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Shounen', 'Supernatural']",['Vega Entertainment'],[],Finished Airing
Kaitou Reinya,12.0,5.91,982,2009-01-09,2009-03-26,['Comedy'],['Kadokawa Pictures Japan'],['Sting Ray'],Finished Airing
Monster Hunter Stories: Ride On,48.0,5.93,1147,2016-10-02,,['Fantasy'],"['Dentsu', 'Fuji TV', 'Capcom', 'Fuji Creative Corporation']",['David Production'],Currently Airing
Kashi no Ki Mokku,52.0,5.92,423,1972-01-04,1972-12-01,"['Adventure', 'Fantasy']",[],['Tatsunoko Production'],Finished Airing
Onsen Yousei Hakone-chan,13.0,5.92,9129,2015-10-04,2015-12-27,"['Comedy', 'Seinen', 'Slice of Life']",[],"['Production Reed', 'Asahi Production']",Finished Airing
Youkai Ningen Bem (2006),26.0,5.93,470,2006-01-04,2006-07-10,['Horror'],"['Sony Pictures Entertainment', 'Studio Comet', 'Nihon Ad Systems']",[],Finished Airing
Kantoku Fuyuki Todoki,13.0,5.93,1515,2014-04-04,2014-07-04,"['Comedy', 'Josei', 'Slice of Life']",[],['DLE'],Finished Airing
Shounen Ashibe: Go! Go! Goma-chan,,5.94,485,2016-04-05,,"['Slice of Life', 'Comedy']",[],['Bridge'],Currently Airing
Anisava,13.0,5.93,70,2013-08-26,2014-01-13,"['Slice of Life', 'Comedy', 'Romance']",[],"['TMS Entertainment', 'DLE']",Finished Airing
Kakko Kawaii Sengen!,5.0,5.94,171,2010-11-05,2010-12-03,['Comedy'],[],[],Finished Airing
Piace: Watashi no Italian,,5.95,885,2017-01-11,,"['Slice of Life', 'Comedy']","['Pony Canyon', 'Studio NOIX', 'comico']",['Zero-G'],Currently Airing
Puu-Neko,11.0,5.94,50,2011-04-13,2011-06-22,['Comedy'],[],['DLE'],Finished Airing
Moegaku★5,40.0,5.95,56,2008-01-14,2008-03-03,"['Magic', 'Parody']",[],['AIC Spirits'],Finished Airing
Garo: Guren no Tsuki,23.0,5.95,4122,2015-10-10,2016-04-02,"['Action', 'Demons', 'Fantasy', 'Magic', 'Supernatural']",['Tohokushinsha Film Corporation'],['MAPPA'],Finished Airing
Koi Koi 7,13.0,5.96,3846,2005-04-02,2005-06-25,"['Comedy', 'Harem', 'Romance']",['Trinet Entertainment'],['Studio Flag'],Finished Airing
"Boku no Imouto wa ""Osaka Okan""",12.0,5.95,6027,2012-12-22,2013-03-16,['Comedy'],"['Toho', 'Bouncy']",['Charaction'],Finished Airing
Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,,5.95,481,2017-01-03,,['Slice of Life'],"['Dream Creation', 'On-Lead']",['Seven'],Currently Airing
Kara The Animation,5.0,5.96,72,2013-03-01,,['Action'],['NOTTV'],[],Finished Airing
Meshimase Lodoss-tou Senki: Sorette Oishii no?,13.0,5.96,148,2014-04-06,2014-06-29,['Comedy'],"['Kadokawa Shoten', 'DAX Production']","['Studio Deen', 'Studio Hibari']",Finished Airing
Soul Buster,12.0,5.97,2983,2016-10-04,2016-12-11,"['Action', 'Samurai']",['MAGES.'],['Studio Pierrot'],Finished Airing
Fushigi na Somera-chan,12.0,5.98,3870,2015-10-07,2015-12-23,"['Comedy', 'Magic', 'Slice of Life']","['DAX Production', 'Dream Creation']",['Seven'],Finished Airing
Chiisana Ojisan,30.0,5.97,102,2012-10-01,2014-01-01,['Slice of Life'],[],['Kachidoki Studio'],Finished Airing
Dibetagurashi: Ahiru no Seikatsu,39.0,5.98,54,2013-04-07,2014-03-30,"['Comedy', 'Slice of Life']",[],[],Finished Airing
Beast Saga,38.0,5.97,134,2013-01-13,2013-09-22,"['Action', 'Sci-Fi', 'Kids', 'Shounen']","['TV Tokyo', 'Half H.P Studio']",['SynergySP'],Finished Airing
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe,12.0,5.98,3434,2014-07-08,2014-09-23,"['Comedy', 'Slice of Life']","['Dream Creation', 'Studio CHANT']",['Seven'],Finished Airing
Comet Lucifer,12.0,5.99,26141,2015-10-04,2015-12-20,"['Action', 'Adventure', 'Fantasy', 'Mecha']","['Bandai Visual', 'Lantis', 'Bushiroad', 'Good Smile Company', 'BS11', 'Sony PCL']",['8bit'],Finished Airing
Sekai de Ichiban Tsuyoku Naritai!,12.0,6.0,8666,2013-10-06,2013-12-22,"['Action', 'Ecchi', 'Sports']","['Movic', 'Earth Star Entertainment']",['Arms'],Finished Airing
Rio: Rainbow Gate!,13.0,6.0,8561,2011-01-04,2011-03-29,"['Game', 'Comedy', 'Ecchi']","['Avex Entertainment', 'Pony Canyon']",['Xebec'],Finished Airing
Chokkyuu Hyoudai Robot Anime: Straight Title,12.0,5.99,389,2013-02-06,2013-04-24,"['Comedy', 'Mecha']","['Tsubasa Entertainment', 'Bouncy']",[],Finished Airing
Cream Lemon: Lemon Angel,37.0,6.0,205,1987-10-01,1987-12-24,['Ecchi'],['AIC'],[],Finished Airing
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,12.0,6.0,11721,2016-01-07,2016-03-24,"['Comedy', 'Mecha', 'Police', 'Sci-Fi']","['Sotsu', 'Magic Capsule', 'flying DOG']","['Production IMS', 'Orange']",Finished Airing
Hoka Hoka Kazoku,1428.0,6.01,63,1976-10-01,1982-03-31,['Comedy'],[],['Eiken'],Finished Airing
G-On Riders,13.0,6.01,944,2002-07-02,2002-10-01,"['Action', 'Sci-Fi', 'Comedy', 'School']",[],"['Shaft', 'TNK']",Finished Airing
Firestorm,26.0,6.01,91,2003-04-06,2003-09-28,"['Action', 'Mecha', 'Military', 'Sci-Fi']",['Trans Arts'],[],Finished Airing
ēlDLIVE,12.0,6.01,2446,2017-01-08,2017-03-26,"['Action', 'Sci-Fi', 'Space']","['d-rights', 'Half H.P Studio', 'Tokuma Japan Communications', 'Tencent Japan']",['Studio Pierrot'],Currently Airing
Avenger,13.0,6.01,4890,2003-10-02,2003-12-25,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",['Production I.G'],"['Bee Train', 'Xebec']",Finished Airing
Minami Kamakura Koukou Joshi Jitensha-bu,12.0,6.02,1165,2017-01-07,2017-03-25,"['Sports', 'School', 'Shounen']","['Genco', 'AT-X', 'Crunchyroll', 'Exit Tunes', 'Duckbill Entertainment', None, None, None, 'NADA Holdings']","['J.C.Staff', 'A.C.G.T.']",Currently Airing
Lemon Angel (1988/II),8.0,6.02,119,1988-07-07,1988-09-01,['Ecchi'],"['AIC', 'Pony Canyon']",[],Finished Airing
Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,12.0,6.02,1307,2011-07-05,2011-09-20,['Magic'],[],['J.C.Staff'],Finished Airing
Ishida to Asakura,12.0,6.02,5720,2013-01-06,2013-03-24,"['Comedy', 'School', 'Seinen']","['DAX Production', 'Hotline']",[],Finished Airing
Girlfriend (Kari),12.0,6.02,7008,2014-10-13,2014-12-29,"['School', 'Slice of Life']","['TV Tokyo', 'VAP', 'Age Global Networks']",['Silver Link.'],Finished Airing
Mahou Shoujo Nante Mou Ii Desukara.,12.0,6.03,6721,2016-01-12,2016-03-29,"['Comedy', 'Magic']","['Earth Star Entertainment', 'F.M.F']",['Pine Jam'],Finished Airing
Anime Oyako Gekijou,26.0,6.02,477,1981-10-09,1982-03-29,"['Kids', 'Adventure', 'Fantasy', 'Historical', 'Sci-Fi']",[],['Tatsunoko Production'],Finished Airing
Regalia: The Three Sacred Stars,13.0,6.04,3043,2016-07-07,2016-11-24,"['Action', 'Sci-Fi', 'Mecha']","['Sotsu', 'Lantis', 'Movic', 'AT-X', 'Memory-Tech', 'Happinet Pictures', 'BS Fuji', 'Good Smile Company', 'Hakuhodo DY Music &amp; Pictures', 'Infinite']",['Actas'],Finished Airing
Himegoto,13.0,6.03,20666,2014-07-07,2014-09-29,"['School', 'Comedy']",[],['Asahi Production'],Finished Airing
Samurai Girl Real Bout High School,13.0,6.05,2901,2001-07-30,2001-10-22,"['Adventure', 'Comedy', 'Fantasy', 'Shounen']",[],['Gonzo'],Finished Airing
Backkom,52.0,6.03,205,2005-01-01,,"['Comedy', 'Kids']",[],['RG Animation Studios'],Finished Airing
Ryuusei Sentai Musumet,13.0,6.04,466,2004-10-04,2004-12-27,"['Adventure', 'Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",['Pony Canyon'],['TNK'],Finished Airing
Mangirl!,13.0,6.05,8460,2013-01-03,2013-03-28,"['Comedy', 'Slice of Life']",['Earth Star Entertainment'],['Doga Kobo'],Finished Airing
Love♥Love?,9.0,6.05,7391,2004-05-04,2004-06-29,"['Ecchi', 'Comedy', 'Harem', 'Romance']",['m.o.e.'],"['Imagin', 'Studio Live']",Finished Airing
Hatsukoi Monster,12.0,6.05,9708,2016-07-02,2016-09-17,"['Comedy', 'Romance', 'School', 'Shoujo']","['Kodansha', 'AT-X', 'DAX Production', 'KlockWorx', 'Sony Music Communications', 'King Records']",['Studio Deen'],Finished Airing
