title,episodes,score,num_votes,air_start,air_end,genres,producers,studios,status
Kono Subarashii Sekai ni Shukufuku wo! 2,,8.44,15777,2017-01-12,,"['Adventure', 'Comedy', 'Supernatural', 'Magic', 'Fantasy']",['Tokyo MX'],['Studio Deen'],Currently Airing
Toradora!,25.0,8.45,416067,2008-10-02,2009-03-26,"['Slice of Life', 'Comedy', 'Romance', 'School']","['Genco', 'Starchild Records', 'Magic Capsule', 'Yomiuri Advertising', 'TV Tokyo Music']",['J.C.Staff'],Finished Airing
Kuroko no Basket,25.0,8.45,214151,2012-04-08,2012-09-22,"['Comedy', 'School', 'Shounen', 'Sports']","['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Mainichi Broadcasting System', 'Banpresto', 'Shueisha', 'BS11']",['Production I.G'],Finished Airing
Fate/stay night: Unlimited Blade Works 2nd Season,13.0,8.45,139516,2015-04-05,2015-06-28,"['Action', 'Supernatural', 'Magic', 'Fantasy', 'Shounen']","['Aniplex', 'Notes']",['ufotable'],Finished Airing
Ookami to Koushinryou II,12.0,8.46,129786,2009-07-09,2009-09-24,"['Adventure', 'Fantasy', 'Historical', 'Romance']","['Imagin', 'flying DOG']","[""Brain's Base""]",Finished Airing
Nodame Cantabile,23.0,8.46,74101,2007-01-12,2007-06-15,"['Music', 'Slice of Life', 'Comedy', 'Drama', 'Romance', 'Josei']","['Dentsu', 'Genco', 'Kodansha', 'Fuji TV', 'Magic Capsule', 'Sony Music Entertainment', 'Fuji Pacific Music Publishing']",['J.C.Staff'],Finished Airing
No Game No Life,12.0,8.46,414128,2014-04-09,2014-06-25,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Game', 'Supernatural']",['Media Factory'],['Madhouse'],Finished Airing
Kino no Tabi: The Beautiful World,13.0,8.46,39035,2003-04-08,2003-07-08,"['Action', 'Adventure', 'Slice of Life']","['WOWOW', 'Genco', 'Pony Canyon', 'Studio Wombat', 'chara-ani.com', 'ASCII Media Works']",['A.C.G.T.'],Finished Airing
Kemono no Souja Erin,50.0,8.46,9983,2009-01-10,2009-12-26,"['Drama', 'Fantasy']","['Trans Arts', 'NHK']",['Production I.G'],Finished Airing
Yuu☆Yuu☆Hakusho,112.0,8.47,105229,1992-10-10,1995-01-07,"['Action', 'Comedy', 'Demons', 'Martial Arts', 'Fantasy', 'School', 'Shounen']","['Yomiko Advertising', 'Fuji TV']",['Studio Pierrot'],Finished Airing
Bakuman.,25.0,8.35,132618,2010-10-02,2011-04-02,"['Comedy', 'Romance', 'Shounen']",['NHK'],['J.C.Staff'],Finished Airing
Kamisama Hajimemashita◎,12.0,8.29,51867,2015-01-06,2015-03-31,"['Comedy', 'Demons', 'Fantasy', 'Romance', 'Shoujo', 'Supernatural']","['Dentsu', 'Sotsu']",['TMS Entertainment'],Finished Airing
Ookiku Furikabutte: Natsu no Taikai-hen,13.0,8.19,12121,2010-04-02,2010-06-25,"['Comedy', 'Sports']","['Aniplex', 'Mainichi Broadcasting System', 'TBS', 'Kodansha', 'Movic', 'Rakuonsha']",['A-1 Pictures'],Finished Airing
Hikaru no Go,75.0,8.19,34383,2001-10-10,2003-03-26,"['Comedy', 'Game', 'Shounen', 'Supernatural']","['TV Tokyo', 'Dentsu', 'Dream Force']",['Studio Pierrot'],Finished Airing
Eureka Seven,50.0,8.19,108550,2005-04-17,2006-04-02,"['Sci-Fi', 'Adventure', 'Drama', 'Romance', 'Mecha']","['Aniplex', 'Bandai Visual', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Bandai', 'Ashi Productions', 'Sony Music Entertainment', 'Bandai Namco Games', 'Hakuhodo DY Media Partners', 'Bandai Channel', 'USEN']",['Bones'],Finished Airing
D.Gray-man,103.0,8.19,144530,2006-10-03,2008-09-30,"['Action', 'Adventure', 'Comedy', 'Shounen']","['TV Tokyo', 'Aniplex', 'Dentsu', 'Half H.P Studio', 'Sony Music Entertainment', 'Studio Jack']",['TMS Entertainment'],Finished Airing
Saiunkoku Monogatari 2nd Season,39.0,8.2,10416,2007-04-07,2008-03-08,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Historical', 'Romance']","['NHK', 'Sogo Vision']",['Madhouse'],Finished Airing
Full Metal Panic? Fumoffu,12.0,8.2,112142,2003-08-26,2003-10-18,"['Action', 'Comedy', 'School']","['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']",['Kyoto Animation'],Finished Airing
Baby Steps 2nd Season,25.0,8.2,21935,2015-04-05,2015-09-20,"['Sports', 'Romance', 'School', 'Shounen']",['NHK'],['Studio Pierrot'],Finished Airing
Tsukimonogatari,4.0,8.21,65543,2014-12-31,,"['Mystery', 'Comedy', 'Supernatural']",['Aniplex'],['Shaft'],Finished Airing
Ansatsu Kyoushitsu (TV),22.0,8.2,176591,2015-01-10,2015-06-20,"['Action', 'Comedy', 'School', 'Shounen']","['Dentsu', 'Fuji TV', 'DAX Production', 'BS Fuji', 'Avex Pictures']",['Lerche'],Finished Airing
Shoujo Kakumei Utena,39.0,8.21,24846,1997-04-02,1997-12-24,"['Drama', 'Fantasy', 'Psychological', 'Shoujo']","['TV Tokyo', 'Audio Tanaka']",['J.C.Staff'],Finished Airing
