title,score,stdev,num_votes,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,5.650898203592814,2.041702009947074,1670,65,59,135,197,274,314,357,166,50,53
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,5.802683449754478,1.7395227128222495,14459,246,385,722,1583,2807,3569,3194,1288,374,291
Cream Lemon: Lemon Angel,5.924778761061947,2.019507999903145,226,6,9,12,19,38,58,42,18,13,11
Sekai de Ichiban Tsuyoku Naritai!,5.759262870514821,2.1492347989623424,10256,386,531,658,1176,1486,2026,1916,1176,475,426
Girlfriend (Kari),5.71508892713712,2.054494696362513,8715,297,383,586,950,1544,1714,1720,871,326,324
Backkom,5.862385321100917,2.047454852851078,218,8,7,13,18,42,46,42,23,9,10
Seihou Tenshi Angel Links,5.973866666666667,1.7352378460090776,1875,21,42,99,176,332,447,478,158,77,45
DD Hokuto no Ken 2 Ichigo Aji+,5.633574007220217,2.197231406709643,554,32,21,44,63,77,105,116,52,20,24
Kerokko Demetan,5.920833333333333,2.018142538463415,240,7,11,15,14,43,47,58,25,12,8
Puzzle & Dragons Cross,6.038696537678208,2.058346856988483,982,22,33,51,106,157,200,195,108,49,61
Hatsukoi Monster,5.7324414715719065,2.1161337964185463,12558,492,563,772,1467,1989,2673,2283,1205,558,556
Ryuusei Sentai Musumet,6.003960396039604,1.9253350379434007,505,8,17,26,47,88,119,97,59,21,23
Love♥Love?,6.022460172368764,1.9383329463511925,7658,184,260,335,667,1250,1707,1722,882,369,282
Mangirl!,5.995565901784724,1.6400993936557262,9021,127,173,323,694,1747,2499,2160,846,269,183
Samurai Girl Real Bout High School,5.99429296131896,1.7910771295125594,3154,51,85,137,306,530,741,761,334,135,74
Himegoto,5.969384008078583,1.994536961060963,21786,633,775,1028,1898,3546,5005,4684,2307,914,996
Regalia: The Three Sacred Stars,5.823130897653036,1.9302943970480753,4133,88,124,245,479,777,964,732,401,151,172
Anime Oyako Gekijou,5.901486988847584,2.2958580817670544,538,34,21,25,39,92,106,102,50,32,37
Mahou Shoujo Nante Mou Ii Desukara.,5.9706005879882404,1.5882207681499088,7143,82,113,255,579,1448,2073,1636,623,195,139
Ishida to Asakura,5.908940943582976,2.18825843809487,6062,244,288,333,549,956,1168,1175,674,350,325
Divergence Eve,5.882033898305084,1.9897148928384456,2950,83,115,177,288,437,641,664,325,123,97
Kikou Sennyo Rouran,5.920704845814978,1.7988893872113016,227,5,4,10,25,40,60,44,24,9,6
Ultraviolet: Code 044,5.665584415584416,1.9759554608173104,924,36,31,61,104,167,191,189,93,30,22
Bernard-jou Iwaku.,5.927564949361515,1.60258823492291,4542,53,88,156,395,948,1296,1011,386,125,84
Najica Dengeki Sakusen,5.977277297405992,1.800106814457419,4973,84,141,222,470,851,1173,1178,526,214,114
Geisters: Fractions of the Earth,5.559633027522936,2.056233274260301,109,6,4,6,15,21,14,27,9,6,1
Kakko Kawaii Sengen! 2,5.926315789473684,2.394036913329089,95,4,4,8,14,9,16,10,17,6,7
Pankis! 2-jigen,5.191780821917808,2.2914823475691977,73,4,6,9,9,11,14,8,6,3,3
Saa Ikou! Tamagotchi,5.924170616113744,2.0150932026682797,211,4,10,11,20,42,34,50,22,7,11
Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,5.465648854961832,2.456639888306648,131,8,10,13,13,21,22,19,10,3,12
Gunparade Orchestra,5.917355371900826,1.6600788291666433,847,11,21,27,103,141,215,203,92,26,8
Oreca Battle,5.590579710144928,2.1193855987314016,552,19,24,45,59,127,113,73,36,24,32
Sarutobi Ecchan,5.7272727272727275,1.6836599252229214,110,2,3,6,9,23,35,21,5,4,2
Marginal Prince: Gekkeiju no Ouji-tachi,5.933723910655438,1.9837313453359033,2731,75,98,122,265,495,583,562,284,141,106
Juusou Kikou Dancougar Nova,6.0306793279766255,1.7412436611173312,1369,16,39,46,129,237,351,317,147,48,39
Nurse Witch Komugi-chan R,5.802197802197802,1.8745633741376082,2730,69,77,148,313,499,619,570,263,102,70
Nandaka Velonica,5.903125,1.9827355432268317,320,12,13,11,32,45,76,68,42,13,8
Hero Bank,5.520900321543408,2.217015568701503,622,36,33,40,74,116,116,98,55,26,28
Mazinger ZIP!,5.7727272727272725,2.281649154671632,66,2,4,4,7,14,12,11,4,0,8
Minna Atsumare! Falcom Gakuen SC,6.131284916201118,1.9251566060788157,358,4,7,20,33,64,87,66,35,19,23
Shounen Hollywood: Holly Stage for 49,5.860143884892087,2.0333924538522976,3475,109,148,192,334,579,711,740,383,148,131
Gaist Crusher,5.584313725490196,2.356415735234891,255,17,15,19,22,43,47,47,17,10,18
Seraphim Call,6.069900142653353,1.8509260099111087,701,11,18,30,63,128,152,165,75,31,28
Koume-chan ga Iku!,5.818181818181818,1.380701303017517,66,1,0,0,9,19,15,15,6,1,0
Lemon Angel (1988),6.068027210884353,1.922512046955269,147,3,0,11,14,26,34,32,10,8,9
Oyako Club,5.838709677419355,2.7951198738625123,62,6,3,4,6,10,7,11,1,3,11
Yami Shibai 4th Season,6.083700440528634,1.821808284557578,454,6,7,19,51,71,119,102,40,12,27
Wind: A Breath of Heart (TV),6.11779851947216,1.8137341911327758,3107,41,87,127,273,494,703,762,375,152,93
Saint Beast: Seijuu Kourin-hen,5.99725902238465,1.9479268892570125,2189,47,59,119,217,375,484,435,251,114,88
Taboo Tattoo,6.09267821871072,1.8783381826262582,44552,644,1145,2287,4464,6636,9853,10122,5570,2232,1599
Yama Nezumi Rocky Chuck,5.969512195121951,1.8092707751069648,164,3,4,6,15,38,33,33,22,5,5
Saint Luminous Jogakuin,6.096188747731397,1.8695681131992854,551,11,16,17,48,100,113,143,58,20,25
Eightman,5.8654970760233915,2.1218804866672043,171,4,11,6,17,31,43,26,14,6,13
Shinseiki Duel Masters Flash,6.060975609756097,2.3235147943159555,82,2,6,5,4,15,14,17,6,4,9
Isuca,6.09576775312926,1.9413971416009796,32276,746,1068,1463,2673,4682,7083,7586,4156,1664,1155
Sengoku Choujuu Giga: Otsu,6.083870967741936,1.6262160262387768,155,3,1,7,6,30,49,36,15,3,5
Nyanbo!,6.138231631382316,1.9185326380033618,803,22,17,27,51,153,195,179,78,34,47
Marie & Gali ver. 2.0,6.157894736842105,1.69405020415064,95,1,1,2,8,21,25,20,9,3,5
School Days,6.121423791882232,2.4634107232126645,183819,10516,10268,9786,15697,18545,27105,33946,26933,16635,14388
Marvel Disk Wars: The Avengers,5.639191290824261,2.2596922330908655,1286,75,57,91,155,189,243,237,116,50,73
Duel Masters Victory V3,6.197802197802198,2.2493944495009583,91,4,4,2,7,12,20,22,6,4,10
Backkom Sports,5.882352941176471,2.3796280713139746,68,4,2,5,5,15,10,11,6,3,7
A.D. Police (TV),6.080956375838926,1.6673150133677892,2384,26,35,105,212,422,546,625,278,97,38
Kodai Ouja Kyouryuu King,5.979373848987109,2.0908328312844375,2715,69,134,138,242,427,575,547,296,137,150
BlazBlue: Alter Memory,6.190988901772403,1.9041244388061687,24148,331,652,1098,2290,3512,4989,5726,3151,1363,1036
Ozma,6.116124638174698,1.6270112177238232,5873,52,98,207,494,1020,1474,1519,690,212,107
Huckleberry no Bouken,6.224043715846994,1.5254027644256254,366,1,4,10,13,93,98,76,45,18,8
Gu-Gu Ganmo,6.173469387755102,1.4916468792338877,98,1,0,4,6,18,28,22,15,4,0
Barbapapa,6.143638850889193,2.0074818742869063,731,22,14,36,46,126,188,137,70,48,44
"Chiisana Obake Acchi, Kocchi, Socchi",6.085152838427947,1.8536397803121563,458,11,8,20,26,89,129,86,48,19,22
21 Emon,6.067415730337078,1.9302311255274078,89,1,5,6,4,12,20,22,11,7,1
Haitai Nanafa,6.099337748344371,1.728652615237185,2114,37,40,71,143,387,572,507,207,80,70
Mahou Sensou,6.153281783851825,2.0352734897122993,55610,1287,1922,2877,5240,7071,10659,12641,7905,3654,2354
Hello Kitty: Ringo no Mori no Fantasy,5.946428571428571,2.46706623671245,56,4,2,3,2,14,8,11,3,1,8
Mousou Kagaku Series: Wandaba Style,6.032637075718016,1.8030233070683412,766,12,20,30,79,124,180,179,90,30,22
Baku Tech! Bakugan,6.150166852057842,2.1703655507761277,899,32,32,39,72,133,190,173,113,42,73
Barbapapa (1977),5.954022988505747,1.7997959397550836,87,0,3,4,6,23,25,11,6,4,5
Metal Fighter Miku,6.117894736842105,1.5310112892683176,475,1,5,16,40,98,113,134,42,15,11
Kamisama Minarai: Himitsu no Cocotama,6.119047619047619,2.197968552922718,168,5,10,5,11,30,31,38,15,8,15
Barbapapa Sekai wo Mawaru,6.042654028436019,1.913553694794823,211,4,5,11,15,46,48,37,22,15,8
Bonobono (2016),6.131707317073171,2.3658586874475094,205,11,5,11,16,35,35,43,15,7,27
Time Bokan Series: Zenderman,5.943661971830986,1.7432955996355832,71,1,0,5,9,13,13,19,7,2,2
Scan2Go,6.055555555555555,2.035032683936884,270,7,11,15,19,35,66,64,29,6,18
Bakumatsu Rock,5.957919809448193,2.0114341175219255,7557,189,252,423,760,1244,1641,1502,814,390,342
Bakumatsu Gijinden Roman,6.038887311950043,1.6933249961274515,3523,33,79,138,332,646,834,855,405,127,74
Mutekiou Tri-Zenon,5.885416666666667,1.7372739161462776,96,3,2,2,12,15,22,29,5,6,0
Abarenbou Rikishi!! Matsutarou,5.796082949308755,2.0044803930099175,2604,84,105,153,286,400,577,513,300,117,69
Zoku Attacker You! Kin Medal e no Michi,5.950819672131147,2.141902245616485,122,4,5,6,12,16,38,15,10,7,9
D4 Princess,6.06508875739645,1.7523453266967364,507,7,10,22,48,79,130,123,53,20,15
Hakushon Daimaou,6.013440860215054,1.8943413157865807,372,6,13,16,34,64,89,83,33,18,16
Shin Calimero,6.1589285714285715,1.6162430848061418,560,6,7,10,43,104,181,114,52,23,20
Hey! Bumboo,6.119047619047619,2.097896942116797,378,14,6,19,29,77,66,78,39,25,25
Shining Hearts: Shiawase no Pan,6.126407284768212,1.8325148300439587,12080,186,317,503,1021,1903,2824,2875,1466,568,417
Yumemiru Topo Gigio,6.183673469387755,1.8480377832933501,245,6,5,8,14,38,75,47,30,10,12
Wolverine,6.124694690834297,1.9098814145379477,7779,125,237,364,712,1171,1661,1815,946,469,279
Fantasista Doll,6.133096266192532,1.8042549515039996,7874,99,160,323,750,1317,1802,1816,955,365,287
Shima Shima Tora no Shimajirou,6.219178082191781,2.2098569676795377,73,3,1,4,2,21,9,14,6,6,7
Yumeria,6.194890077243018,1.875044234719136,10098,168,253,415,847,1519,2212,2444,1297,532,411
Gunslinger Stratos: The Animation,6.127328216866388,1.9049230031643885,22281,412,647,1030,2043,3191,4685,5382,2974,1146,771
Haitai Nanafa 2nd Season,6.194630872483222,1.6165164814767017,596,8,8,12,41,109,160,156,63,23,16
Zero Duel Masters,6.182711198428291,2.068572896512233,509,10,17,28,36,82,115,97,61,22,41
Kimagure Robot,6.200777202072539,1.6957274615740032,772,7,17,23,69,123,171,204,101,46,11
Backkom 2,6.079545454545454,2.2824507906130744,88,5,3,3,6,15,18,16,10,4,8
Gun-dou Musashi,5.527967257844475,3.2955128183071065,733,134,69,44,45,63,65,83,47,24,159
Luck & Logic,6.157242813918305,1.7879372131331834,21152,249,408,876,1892,3471,5020,4963,2458,1053,762
I: Wish You Were Here,6.21393384940183,1.7941111171723247,2842,26,68,100,247,463,649,690,324,171,104
Duel Masters VS,6.395061728395062,2.280778578055207,81,1,5,3,6,12,16,12,10,6,10
Iron Man,6.067714631197098,1.8861251689449516,9097,165,248,422,898,1432,1939,2115,1113,474,291
Mobile Suit Gundam-san,6.192184154175589,1.901763788655975,1868,33,50,77,148,283,439,413,236,107,82
Gon,5.838056680161944,2.092518258165259,247,10,10,11,20,53,51,45,24,9,14
Soul Link,6.18272218769422,1.9179534612935587,6436,121,189,287,527,936,1318,1569,890,357,242
Tantei Team KZ Jiken Note,6.136474609375,1.7031042640193648,4096,44,77,142,331,729,1033,984,471,162,123
Wizard Barristers: Benmashi Cecil,6.177532080659945,1.815739000110846,17456,254,421,721,1572,2572,3640,4386,2569,876,445
Aquarian Age: Sign for Evolution,6.199769717904433,1.7156330050100375,3474,42,55,103,286,621,826,835,421,191,94
Pinocchio yori Piccolino no Bouken,6.230452674897119,1.774411918120407,486,4,8,18,27,107,123,97,52,22,28
Sengoku☆Paradise Kiwami,6.139354838709678,1.8963291117039631,775,10,15,37,80,127,176,174,68,46,42
Blade & Soul,6.177988178940587,1.858032116078653,35699,527,824,1545,3185,5434,8001,8365,4437,2039,1342
Calimero,6.20374531835206,1.7594222054228514,1335,20,22,43,84,236,376,302,131,55,66
Stitch!: Zutto Saikou no Tomodachi,6.168582375478927,2.0082038404181533,261,7,6,11,22,46,51,52,39,12,15
SoniAni: Super Sonico The Animation,6.059045092838196,2.0441971024640955,18850,507,639,1030,1687,2811,3776,4156,2309,1035,900
Oishinbo,6.215686274509804,2.591946240441924,102,13,1,5,3,7,13,20,26,9,5
Crystal Blaze,6.126180059866452,1.7269819927857422,4343,58,101,164,339,723,1006,1132,544,189,87
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,6.241119144922981,1.9009636709551099,6362,147,137,254,535,819,1363,1560,948,384,215
Weiß Survive R,6.298289879450518,1.8336036884226063,3567,30,94,154,247,512,817,913,421,213,166
Bakugan Battle Brawlers: Mechtanium Surge,6.250819356082514,1.9648287846589136,5187,96,135,213,401,837,1101,1128,660,313,303
Final Fantasy: Unlimited,6.108732351135666,1.9781829969680795,13032,279,380,647,1252,1997,2513,3044,1577,796,547
Porong Porong Pororo,6.059701492537314,2.184617846391879,67,2,1,5,6,17,8,9,8,7,4
W: Wish,6.26228323699422,1.7487522082517686,4152,43,75,146,313,664,994,1011,546,211,149
Futari Daka,6.218181818181818,1.6590348682938751,55,1,1,1,3,8,19,12,5,4,1
Lovedol: Lovely Idol,6.180398959236774,1.9602460632130776,2306,49,58,88,213,376,485,479,310,132,116
Topo Gigio,6.282430213464696,1.7613912638521012,609,8,9,16,42,98,179,134,59,30,34
Tamagotchi!,6.65934065934066,2.386867827678851,91,3,3,2,7,13,14,18,8,6,17
Gasshin Sentai Mechander Robo,6.098591549295775,1.9073979737724167,71,2,1,2,8,13,14,16,7,6,2
Colorful,6.131322801978619,2.1902099260893073,6267,242,256,278,527,821,1224,1267,829,451,372
DD Hokuto no Ken,6.232181425485961,2.0002918236126925,926,18,36,40,61,130,201,215,119,56,50
Monkey Magic,6.007142857142857,2.0159947157365146,140,4,4,5,17,25,25,30,15,9,6
Aa Harimanada,6.175141242937853,1.8343406910960909,177,4,1,8,15,30,40,43,20,8,8
Tabi Machi Late Show,6.263550795196365,1.7481846432793955,3081,44,62,101,190,500,752,735,451,158,88
Rakugo Tennyo Oyui,6.149038461538462,1.721442552064742,208,3,3,8,14,40,51,50,24,8,7
Gakuen Handsome,6.096828358208955,2.6903901010656854,5360,347,290,316,485,760,847,727,381,225,982
Ai Tenchi Muyou!,6.145483471804844,1.8777027354696694,5657,104,119,245,526,875,1273,1303,686,298,228
Maou Dante,6.248683440608543,1.9462210067172079,1709,29,47,74,154,205,389,416,200,103,92
Tanken Driland: 1000-nen no Mahou,6.405940594059406,1.9608960258498427,101,1,1,3,11,18,21,18,13,5,10
Komori-san wa Kotowarenai!,6.251398292611127,1.5934076231248766,13588,117,205,371,807,2253,3719,3656,1591,513,356
Jankenman,6.171428571428572,1.8896063730041661,105,2,4,3,5,20,26,21,15,4,5
Show By Rock!! Short!!,6.287827557058327,1.692930633804012,2366,24,43,56,165,369,627,623,261,97,101
Duel Masters Victory V,6.404255319148936,2.1846619531876663,94,3,3,1,8,15,18,21,9,4,12
Tales of Eternia The Animation,6.282345828295043,1.6890138346644046,4962,49,70,179,361,747,1196,1311,667,241,141
Akahori Gedou Hour Rabuge,6.158634538152611,1.847862040156052,996,22,17,38,88,152,218,270,112,32,47
Brain Powerd,6.131088394467829,1.9085248401704948,1663,28,45,81,153,263,326,396,220,90,61
Akubi Girl,6.173913043478261,2.067390161385868,92,2,6,2,6,14,15,28,8,6,5
Kasumin 3rd Season,6.225352112676056,1.9587088525287288,71,3,0,2,7,13,9,19,12,3,3
Momoiro Sisters,6.235401459854015,1.6021388599061028,548,3,5,23,41,85,147,135,72,27,10
Kenzen Robo Daimidaler,6.051521564620886,2.1077939723465486,13703,441,542,706,1259,1812,2751,3033,1717,708,734
Masou Kishin Cybuster,6.232464929859719,1.7934606598834681,499,5,10,22,44,76,102,125,75,24,16
Andersen Monogatari (TV),6.103092783505154,1.7731359376107887,97,2,1,6,6,17,21,26,10,7,1
Dragon Collection,6.055038103302286,1.9540492973477301,1181,25,42,50,91,219,257,256,124,63,54
Yurumates 3D,6.296370296370297,1.5923383028759956,3003,25,34,95,194,453,765,862,379,127,69
Transformers Superlink,6.311974110032362,1.8894406766361098,1545,20,43,49,137,210,325,378,224,77,82
Izumo: Takeki Tsurugi no Senki,6.335146898803047,1.716412935265717,2757,27,55,75,183,414,654,761,345,139,104
Sister Princess: Re Pure,6.327745919717689,1.8714162671664827,2267,39,45,71,179,337,479,570,299,134,114
Sci-fi Harry,6.245941070354781,1.9196753368245172,1663,32,44,76,134,226,312,433,240,110,56
Hipira-kun,6.268186753528773,1.662891883352702,921,11,11,23,63,166,222,244,112,37,32
Beyblade Burst,6.300113250283125,2.173001741144223,883,28,34,41,50,121,165,202,118,49,75
DRAMAtical Murder,6.191489946159763,2.056557495598654,36404,783,1123,1765,3501,5176,7220,7630,4495,2613,2098
Asagiri no Miko,6.244324970131422,1.5931962357628437,1674,14,19,46,109,313,410,449,213,55,46
Weiß Survive,6.302722732398904,1.8292762637385434,6207,75,143,247,412,938,1392,1584,780,359,277
Queen's Blade: Rurou no Senshi,6.12351503917769,2.0229729341170093,23738,665,831,1068,1981,3222,4961,5506,3065,1423,1016
Bakugan Battle Brawlers: Gundalian Invaders,6.280337721808815,1.9311199227705735,6988,104,181,291,528,1067,1555,1553,874,442,393
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,6.2422289613343445,1.9064104208133026,7914,154,206,303,601,1126,1823,1802,1094,462,343
Uchuujin Tanaka Tarou,6.312138728323699,2.021766681035762,173,4,6,3,10,36,34,35,17,18,10
Haiyoru! Nyaruani: Remember My Love(craft-sensei),6.28012868101955,1.7659300290161029,8082,121,140,271,508,1249,2079,1974,1014,399,327
Manyuu Hikenchou,6.193496844291763,2.013443486441728,12517,320,354,552,1050,1682,2722,2922,1539,628,748
Photokano,6.243894139886579,1.827449170003058,26450,403,597,1003,2094,3913,5759,6673,3674,1393,941
Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,6.34141201264489,1.995089469011462,949,8,38,44,65,135,189,210,139,59,62
Nogsaegjeoncha Haemosu,6.261363636363637,2.047694480617266,88,2,1,4,10,13,19,16,9,8,6
Time Bokan 2000: Kaitou Kiramekiman,6.217391304347826,1.7098992700003042,69,1,1,1,3,15,23,14,4,2,5
Sasurai no Shoujo Nell,6.266666666666667,1.7048949136725895,90,2,2,0,6,14,26,22,10,6,2
Stitch!: Itazura Alien no Daibouken,6.3202614379084965,1.9374317437565582,306,6,6,12,25,43,66,64,54,11,19
Soul Eater NOT!,6.216530295183842,1.886612920897563,48275,1008,1210,1928,3900,6570,10271,12304,6715,2723,1646
Blade,6.207297337060468,1.8505639765621156,6797,110,160,260,552,1048,1537,1631,860,376,263
Long Riders!,6.336842105263158,1.7790034248408766,2375,28,37,79,172,374,544,576,328,137,100
Burn Up Scramble,6.294091316025067,1.672059881078978,2234,27,37,59,148,349,537,616,297,104,60
D.I.C.E.,6.112330535829567,2.138287943749518,1549,43,65,75,132,243,305,282,207,103,94
Koala Boy Kokki,6.3081761006289305,1.7695882530523224,159,2,1,5,14,28,35,39,17,11,7
Time Bokan Series: Gyakuten Ippatsuman,6.319444444444445,1.6144003779257838,72,0,0,4,5,12,15,25,5,2,4
Alice SOS,6.408163265306122,1.754508679955251,98,1,1,5,5,15,18,30,15,3,5
Chuu Bra!!,6.1881193994421695,1.8750928053113936,16851,315,451,674,1364,2465,3662,4154,2267,920,579
Duel Masters Victory,6.398773006134969,2.1778017771081983,163,4,7,3,12,27,28,37,18,8,19
Suzy's Zoo: Daisuki! Witzy,6.10062893081761,1.9721168544142849,159,4,3,9,11,29,39,26,24,4,10
Sanrio Anime Sekai Meisaku Gekijou,6.317269076305221,1.9838056637517913,249,4,8,5,20,47,48,52,33,13,19
Kagihime Monogatari Eikyuu Alice Rinbukyoku,6.254288597376387,1.9104363841970042,1982,31,49,88,162,274,442,466,253,123,94
Ukkari Pénélope (2009),6.133333333333334,1.4772346537440226,90,1,0,1,7,21,24,25,6,2,3
Wanpaku Oomukashi Kum Kum,6.028169014084507,2.0416220490464316,71,3,1,6,4,6,21,18,5,3,4
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,6.259515820615507,1.8761707528392266,27717,541,664,1076,2147,3647,6102,6993,3912,1634,1001
Sazae-san,6.327669902912621,2.3662085948489167,412,26,12,15,21,44,84,96,41,26,47
Vampiyan Kids,6.188888888888889,1.6525700149527665,90,0,1,2,11,18,21,17,13,4,3
Kidou Shinsengumi Moeyo Ken TV,6.244204018547141,1.745126030120445,1294,21,18,45,94,200,309,350,148,66,43
Lovely Movie: Itoshi no Muco,6.420454545454546,2.244800005816933,88,2,2,4,4,22,15,14,4,9,12
Badaui Jeonseol Jangbogo,6.301075268817204,2.0308637191962213,93,0,3,6,9,14,16,22,9,6,8
Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,6.251120071684587,1.8684020351076103,4464,101,102,141,323,668,975,1111,632,248,163
Dororon Enma-kun,6.040449438202248,1.8537977479056702,445,12,6,19,49,67,98,110,50,22,12
Duel Masters Charge,6.337974683544304,1.7901844751464246,1580,15,29,56,103,267,358,377,211,89,75
Time Bokan Series: Itadakiman,6.369230769230769,2.004373915440781,65,1,0,2,6,15,15,9,6,3,8
Kakyuusei (1999),6.417763157894737,1.6896979632655393,304,4,3,6,18,46,80,81,33,20,13
Hoshi no Ko Chobin,6.246913580246914,1.4951019965828245,81,0,1,2,4,15,29,16,7,5,2
Seupideuwang Beongae,6.329268292682927,2.22543433989632,82,1,3,5,6,16,13,15,7,6,10
Wooser no Sono Higurashi,6.283295992033856,1.8030765869088223,4017,57,80,134,288,623,959,948,556,204,168
Machine Hayabusa,5.913793103448276,1.9677090018126429,58,3,1,3,3,9,16,15,3,3,2
Ganbare Goemon,6.202830188679245,1.7513853032951023,212,1,4,10,17,41,39,56,26,11,7
Oraa Guzura Dado (1987),6.2727272727272725,2.141951796154247,77,2,4,3,4,10,16,19,8,5,6
Moero Arthur: Hakuba no Ouji,6.2988505747126435,1.6196703405800954,87,1,1,2,5,10,35,16,10,3,4
Maken-Ki! Two,6.3292382315521625,2.0313088727475015,25152,545,692,1068,2042,3194,5093,5715,3486,1699,1618
Pretty Rhythm: All Star Selection,6.311475409836065,2.040901308499426,244,4,4,16,17,36,52,60,19,12,24
Psychic Academy,6.2885184189298196,1.8058060982722428,3719,59,64,135,270,567,835,928,512,212,137
Obake no Q-tarou,6.229508196721311,1.7215456515180427,61,2,1,0,1,13,19,15,5,2,3
Yoiko,6.25068870523416,1.7298125886351972,726,8,16,21,44,126,188,172,87,39,25
Kitty's Paradise,6.333333333333333,2.142799942036492,222,7,8,4,14,39,43,52,21,10,24
Jikuu Tantei Genshi-kun,6.3226008127539854,1.6950248034986797,3199,25,48,95,227,524,768,810,422,162,118
Himitsu no Akko-chan 3,6.377358490566038,1.7561365732588523,106,3,1,0,7,20,21,29,13,10,2
Kiko-chan Smile,6.388888888888889,1.8299632324445116,72,3,1,0,5,7,19,17,14,5,1
Tanoshii Willow Town,6.3120567375886525,1.8417335026146389,141,2,2,6,7,25,38,28,17,7,9
Shin Strange+,6.367597292724196,1.7680131612446963,4728,59,79,156,303,677,1138,1194,657,268,197
Kujibiki♥Unbalance,6.327364297705652,1.7422772094480097,3574,47,58,121,244,540,767,976,518,196,107
Amnesia,6.290692956832197,2.09082733590503,73944,1509,2399,3453,6634,10232,13658,15067,10193,6154,4645
Bakugan Battle Brawlers,6.280082276311279,1.924097300490041,17502,310,449,627,1291,2781,3743,4061,2224,1081,935
Gakkyuu Ou Yamazaki,6.168032786885246,2.121427233520335,244,6,8,15,20,33,50,56,20,19,17
Duel Masters Zero,6.354838709677419,2.042444743326239,279,4,5,14,24,49,47,60,37,12,27
Chitose Get You!!,6.2341723874904655,1.7964090541225166,6555,100,152,222,465,1042,1506,1633,866,360,209
Digimon Universe: Appli Monsters,6.373024236037935,1.9883616642723512,949,18,22,38,78,116,201,225,124,63,64
Nanami-chan,6.283987915407855,1.7599996017162263,331,2,6,12,23,62,77,73,45,15,16
Battle Spirits: Double Drive,6.3559322033898304,1.997988071632729,59,2,0,4,2,9,13,13,9,3,4
Shukufuku no Campanella,6.280917929007461,1.8507784427219713,8846,135,181,368,689,1257,1905,2224,1215,519,353
Himiko-den,6.363507779349363,1.6161221423318346,1414,10,15,36,90,241,325,398,185,71,43
Zettai Bouei Leviathan,6.286234157359769,1.7608313457332443,7969,91,153,255,585,1283,1801,2051,1032,421,297
Tono to Issho: Ippunkan Gekijou,6.380269058295964,1.8443383052221938,1115,13,23,42,75,165,239,277,149,81,51
Sekkou Boys,6.301192700100589,1.7625496928679425,13918,188,235,459,970,2012,3430,3727,1668,578,651
Mafukiden: Pandarian,6.270491803278689,2.1540540704581685,122,2,3,11,8,19,22,19,18,12,8
Busou Shinki,6.258305484568508,1.7619030779025124,10174,112,225,365,760,1542,2317,2614,1416,493,330
Submarine Super 99,6.295774647887324,1.844120459315294,213,3,6,6,15,32,50,51,29,11,10
Hidan no Aria AA,6.3065221525004755,1.840500241863515,15777,224,357,535,1246,2201,3480,4065,2129,801,739
Magical Canan,6.351851851851852,1.8533817210062764,918,10,28,29,53,138,216,223,118,55,48
Akikan!,6.305445787640003,1.8183004467112196,42767,617,906,1520,3171,6173,9298,11029,5905,2584,1564
Tezuka Osamu no Don Dracula,6.36318407960199,1.8453755057330408,402,3,10,12,31,66,89,85,58,28,20
"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori",6.400665004156276,1.9180089198639712,10827,152,208,421,890,1540,2027,2645,1579,750,615
Rikujou Bouei-tai Mao-chan,6.210009813542689,1.9262806937185966,1019,24,29,36,77,151,217,245,144,54,42
B-Densetsu! Battle Bedaman,6.283760683760684,1.8857650731153408,4095,63,107,165,249,651,914,985,536,208,217
Youkai Ningen Bem,6.356060606060606,1.83456945554972,132,2,4,2,9,19,32,33,16,9,6
Zenryoku Usagi,6.185929648241206,1.8350586410674068,199,6,3,4,14,35,50,46,21,14,6
Ookamikakushi,6.4236079996741475,1.7918265000156002,24551,252,457,844,1785,3162,5250,6416,3786,1632,967
Little El Cid no Bouken,6.423913043478261,1.6099803918072357,92,1,1,1,6,12,29,19,17,2,4
MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu,6.391089108910891,1.9398172318673996,202,3,5,7,13,29,45,54,19,10,17
Kuma Miko,6.372345495948737,1.667687288978067,18883,189,242,558,1350,2563,4393,5300,2821,929,538
Mach GoGoGo (1997),6.370967741935484,1.7384495912634652,682,8,17,16,37,96,172,183,88,40,25
Kikou Keisatsu Metal Jack,6.3428571428571425,1.602548989986304,70,1,0,3,1,15,16,21,7,4,2
Togainu no Chi,6.357620556142203,2.0846222002579067,25569,510,820,1121,2166,3350,4625,5428,3717,2171,1661
Gin'iro no Olynsis: Tokito,6.355140186915888,1.7783870485263662,2140,28,37,74,157,287,464,602,286,123,82
UFO Senshi Dai Apolon,6.160377358490566,1.812622370379603,106,1,2,8,5,21,18,29,12,8,2
