title,score,stdev,num_votes,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
Danball Senki Wars,7.289041095890411,1.7657364208454693,730,7,8,15,18,36,104,204,174,83,81
Rumiko Takahashi Anthology,7.382302405498282,1.4144794403755303,1164,5,3,5,16,67,163,343,343,145,74
RideBack,7.347244708280866,1.46277808550365,16677,44,59,119,346,1081,2258,4836,4610,2298,1026
Ginga Hyouryuu Vifam,7.370491803278688,1.6227222889274657,305,1,2,4,4,27,35,90,69,42,31
Fushigiboshi no☆Futagohime Gyu!,7.403409090909091,1.7148382420161359,880,4,3,13,22,53,141,254,149,113,128
Dog Days',7.289269893878071,1.5466167067569474,31379,87,142,330,747,2214,4706,8974,7746,4041,2392
Aquarion Evol,7.248387883857925,1.678507084988211,28689,170,198,377,956,2096,4141,7688,6760,3824,2479
Rokujouma no Shinryakusha!? (TV),7.286157248275365,1.4400527225904443,41603,94,175,347,898,2543,5783,13120,11358,4918,2367
Kidou Tenshi Angelic Layer,7.248674851628687,1.4983949754159445,22073,73,74,172,458,1703,3447,6580,5324,2838,1404
Phi Brain: Kami no Puzzle,7.1866084522063725,1.619790978129022,30004,144,181,395,1042,2319,4294,8448,7423,3691,2067
H2O: Footprints in the Sand,7.198691604461964,1.7755369574413358,35769,241,357,613,1406,2819,5112,9056,7962,4813,3390
Gravitation,7.182189677571749,1.8591083114328162,42335,380,514,724,1638,3741,6307,9959,8611,5832,4629
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,7.244404906826482,1.6613265535465216,10679,51,65,152,329,843,1534,2894,2469,1439,903
Haiyore! Nyaruko-san,7.195519609731048,1.5857711733763868,77895,377,529,1005,2313,5320,11349,23447,19220,9140,5195
Digimon Frontier,7.203920379913105,1.6500632377023097,49485,168,249,605,1662,4249,7958,13319,10773,6073,4429
Futari wa Precure: Splash☆Star,7.221206581352834,1.6477972686268667,2188,10,11,17,63,197,368,595,445,273,209
Robin Hood no Daibouken,7.249003101462118,1.5011530433136522,2257,3,10,14,56,162,372,698,511,254,177
Joker Game,7.1651924561597,1.5261687303903404,45335,113,190,562,1490,3359,6950,13471,11455,5187,2558
Muteki Choujin Zanbot 3,7.209039548022599,1.5341662010755492,531,2,2,5,18,35,82,157,136,59,35
Freezing,7.134703552381249,1.7055420355258748,96189,575,902,1671,3569,7343,14537,26624,21842,11689,7437
Tokimeki Memorial: Only Love,7.143111337061515,1.637482623869928,11802,52,90,159,391,1002,1810,3285,2796,1373,844
Kyattou Ninden Teyandee,7.0580223372378095,1.699154631587518,3671,25,28,50,140,324,624,1086,710,367,317
Bubblegum Crisis Tokyo 2040,7.132290615539858,1.466874977666351,9910,24,35,84,249,870,1586,3074,2420,1085,483
Seiyou Kottou Yougashiten: Antique,7.06235544453696,1.6160785597304586,10809,81,73,118,358,939,1766,3221,2421,1202,630
Ochamegami Monogatari: Korokoro Pollon,7.179775280898877,1.36798123604891,623,1,3,2,7,29,146,205,134,56,40
D.C.S.S: Da Capo Second Season,7.133086114544706,1.649113980313906,12135,57,88,182,425,976,1903,3451,2732,1440,881
El Hazard: The Wanderers,7.065245478036176,1.5120269079628692,4644,15,20,45,144,396,794,1525,989,446,270
Furusato Saisei: Nihon no Mukashibanashi,7.12041884816754,1.535326365857469,1910,12,6,10,27,209,322,591,410,186,137
gdgd Fairies 2,7.142428785607196,1.9202500404744178,667,12,11,12,24,42,95,170,148,86,67
Dae Jang Geum: Jang Geum's Dream 2,7.483221476510067,1.59109951787447,149,1,1,0,1,10,22,43,33,19,19
Yumekui Merry,7.048899488032206,1.5344589154560344,45706,152,236,538,1555,3923,7752,14207,10328,4631,2384
Battle Spirits: Sword Eyes,7.181069958847736,1.8008147696562056,243,2,2,4,7,24,33,73,43,24,31
Daitoshokan no Hitsujikai,6.991704945814566,1.5246924355890197,22423,77,134,261,753,1978,4007,7315,4731,2020,1147
